,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,popularity,clusters,id,artist,song_title
2890,0.413,0.907,-3.769,0.0577,0.00665,0.707,0.118,0.303,175.052,296229,0,28,7,2tfVKHZStKg0c9vOoleJmp,['Boxplot'],"Always Here, My Dear"
2891,0.44,0.958,-2.857,0.0502,0.000971,3.44e-05,0.298,0.12,173.98,244500,0,32,9,3obn0D3puHAsXOtDJFMG8G,"['T & Sugah', 'Karina Ramage']",Let Me Out
2892,0.419,0.901,-2.954,0.0502,0.000474,0.809,0.19,0.0697,174.025,248500,0,24,7,3QJEbdSoAk4bj2CTLKsiBH,['T & Sugah'],Past Future
2893,0.473,0.961,-3.278,0.0407,0.000761,0.00029,0.796,0.34,173.95,255000,0,30,5,5zsmkIUNBZ5ptW6ewD4vc9,['Jon Void'],Strong Now
2894,0.422,0.915,-5.505,0.0558,0.00134,0.907,0.127,0.0657,173.982,266207,0,28,7,1ScDVkfrKUSJMnkuMuSKfP,['Dualistic'],Cluster Patrol
2895,0.421,0.797,-5.869,0.0683,0.146,0.0541,0.344,0.167,173.941,207931,0,42,9,15fhccPHabcXcrmIxKFHum,"['Rameses B', 'Feint', 'Veela']",Space Boy
2896,0.487,0.943,-1.869,0.0463,0.00173,0.429,0.194,0.039,173.995,261000,0,25,7,4VxqrgauPobLAA7ab1SKIU,['T & Sugah'],Your Way
2897,0.339,0.747,-3.733,0.0314,0.000715,0.000176,0.134,0.0907,86.98,228707,0,31,9,4Xtpd57M3GgCBlJYcCAEKx,"['T & Sugah', 'Maddy']",Running
2898,0.516,0.913,-4.521,0.0407,0.00897,0.000364,0.0709,0.261,173.999,188000,0,28,9,3S1xw8X18Ow3FTYVrW2EMs,['Itro'],Wide Awake
2899,0.419,0.902,-4.583,0.0458,0.000311,0.0128,0.117,0.291,173.968,254138,0,33,9,4mCY3ezfbTUKYcS92pHq7K,"['MUZZ', 'Lexurus', 'Dualistic']",Start Again - Lexurus & Dualistic Remix
2900,0.609,0.933,-2.81,0.254,0.00044,0.00221,0.0951,0.224,173.956,272000,0,30,9,6YmoHcE8e6UqOljx2RXhn2,['T & Sugah'],Doo Da Dub
2901,0.4,0.852,-4.287,0.0348,0.00146,2.77e-05,0.105,0.552,174.01,289310,0,23,9,4TLvBSsBuOcTWjk5kcV1v8,"['T & Sugah', 'Ayah Marar']",Be There
2902,0.471,0.903,-2.684,0.0467,0.000424,0.871,0.0796,0.179,174.044,295100,0,36,7,0GaM1ogQ95LcGz55a8RaB7,"['Feint', 'Boxplot']",Heartstrings
2903,0.467,0.956,-2.397,0.0455,0.00495,0.000809,0.148,0.584,173.945,295530,0,32,9,5Tia5qlNkpbHHueV5c8sZ9,['Boxplot'],Only Us
2904,0.434,0.948,-3.17,0.0386,0.00548,0.00828,0.365,0.293,174.019,268500,0,26,9,3UIPsGzOU5qsysU9Zk3s8o,['T & Sugah'],G.O.A.T.
2905,0.473,0.951,-2.83,0.0496,7.46e-05,0.872,0.108,0.183,174.017,275187,0,21,7,5npG4TPuVqeSssWwbjWn5f,['T & Sugah'],Is This Love
