danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.506,0.618,4,-11.278,1,0.0708,0.657,2.31e-05,0.248,0.789,89.023,audio_features,21WrPeWVmWWBAx0dXYck9L,spotify:track:21WrPeWVmWWBAx0dXYck9L,https://api.spotify.com/v1/tracks/21WrPeWVmWWBAx0dXYck9L,https://api.spotify.com/v1/audio-analysis/21WrPeWVmWWBAx0dXYck9L,386560,4
0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,audio_features,7pKfPomDEeI4TPT6EOYjn9,spotify:track:7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/tracks/7pKfPomDEeI4TPT6EOYjn9,https://api.spotify.com/v1/audio-analysis/7pKfPomDEeI4TPT6EOYjn9,187867,4
0.214,0.4,10,-10.042,1,0.0342,0.756,0.0,0.325,0.508,169.683,audio_features,0RFKuagqUgR4X8C1QneCCq,spotify:track:0RFKuagqUgR4X8C1QneCCq,https://api.spotify.com/v1/tracks/0RFKuagqUgR4X8C1QneCCq,https://api.spotify.com/v1/audio-analysis/0RFKuagqUgR4X8C1QneCCq,191160,3
0.478,0.774,7,-6.977,1,0.0292,0.000265,0.585,0.191,0.429,112.577,audio_features,5j6ZZwA9BnxZi5Bk0Ng4jB,spotify:track:5j6ZZwA9BnxZi5Bk0Ng4jB,https://api.spotify.com/v1/tracks/5j6ZZwA9BnxZi5Bk0Ng4jB,https://api.spotify.com/v1/audio-analysis/5j6ZZwA9BnxZi5Bk0Ng4jB,370373,4
0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,audio_features,51H2y6YrNNXcy3dfc3qSbA,spotify:track:51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/tracks/51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/audio-analysis/51H2y6YrNNXcy3dfc3qSbA,352906,4
0.609,0.657,1,-11.496,1,0.0695,0.0308,0.00221,0.071,0.872,100.607,audio_features,1kryOQS9FQDsbYY4db5zS5,spotify:track:1kryOQS9FQDsbYY4db5zS5,https://api.spotify.com/v1/tracks/1kryOQS9FQDsbYY4db5zS5,https://api.spotify.com/v1/audio-analysis/1kryOQS9FQDsbYY4db5zS5,266160,4
0.319,0.839,0,-7.341,1,0.0404,0.00596,7.99e-05,0.0764,0.538,144.938,audio_features,0LEoCPq4QlV2h41Fm5ENJ3,spotify:track:0LEoCPq4QlV2h41Fm5ENJ3,https://api.spotify.com/v1/tracks/0LEoCPq4QlV2h41Fm5ENJ3,https://api.spotify.com/v1/audio-analysis/0LEoCPq4QlV2h41Fm5ENJ3,350373,4
0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65,audio_features,1dv3ePjze9tPq2pk8eWJdR,spotify:track:1dv3ePjze9tPq2pk8eWJdR,https://api.spotify.com/v1/tracks/1dv3ePjze9tPq2pk8eWJdR,https://api.spotify.com/v1/audio-analysis/1dv3ePjze9tPq2pk8eWJdR,270773,4
0.304,0.104,10,-15.835,0,0.0313,0.963,0.000291,0.177,0.0608,81.02,audio_features,2sq8Rz7pspqExxUF0gPaJ7,spotify:track:2sq8Rz7pspqExxUF0gPaJ7,https://api.spotify.com/v1/tracks/2sq8Rz7pspqExxUF0gPaJ7,https://api.spotify.com/v1/audio-analysis/2sq8Rz7pspqExxUF0gPaJ7,189360,3
0.571,0.908,1,-8.208,1,0.0907,0.412,1.19e-06,0.0802,0.958,137.43,audio_features,4CZn7RvBSLun4ropg0UNZV,spotify:track:4CZn7RvBSLun4ropg0UNZV,https://api.spotify.com/v1/tracks/4CZn7RvBSLun4ropg0UNZV,https://api.spotify.com/v1/audio-analysis/4CZn7RvBSLun4ropg0UNZV,133573,4
0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,audio_features,5IVuqXILoxVWvWEPm82Jxr,spotify:track:5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/tracks/5IVuqXILoxVWvWEPm82Jxr,https://api.spotify.com/v1/audio-analysis/5IVuqXILoxVWvWEPm82Jxr,236133,4
0.745,0.466,4,-7.62,0,0.0864,0.00666,0.35,0.272,0.303,123.889,audio_features,3m6KkYKdnbffMpGd9Pm9FP,spotify:track:3m6KkYKdnbffMpGd9Pm9FP,https://api.spotify.com/v1/tracks/3m6KkYKdnbffMpGd9Pm9FP,https://api.spotify.com/v1/audio-analysis/3m6KkYKdnbffMpGd9Pm9FP,231920,4
