,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,explicit,popularity,clusters,id,artist,song_title
3209,0.453,0.324,-8.668,0.0294,0.673,4.6e-06,0.0949,0.201,136.563,0,24,8,39unFHYcKCAy2AtG9yJ7TI,"['Macca', 'Emily Makis', 'Vector']",Breathe
3210,0.475,0.322,-10.687,0.0283,0.367,0.00056,0.11,0.387,93.503,0,77,0,4gAozcAJ1Kt9XMCPMkOrv4,['Itro'],Flavour - VIP
3211,0.768,0.49,-12.678,0.274,0.138,0.0,0.0402,0.754,112.504,0,0,4,4EED1XHYfeFN8DNnlZRaCO,['Hiraeth'],Find A Way
3212,0.754,0.366,-10.07,0.0312,0.273,9.04e-05,0.106,0.469,91.147,0,72,0,5Vmm1OuoguR26iTKNykQPU,['SiLi'],In The Mood
3213,0.824,0.441,-9.833,0.445,0.018,0.0,0.0676,0.551,179.838,1,0,4,3weGF1RZ1hIGDyUFdqKpJD,['Dustkey'],Gunpoint Stares
3214,0.347,0.417,-11.9,0.0478,0.643,0.241,0.0726,0.474,124.511,0,0,8,2oGMcPLrSGany7XvA3Ze6l,"['Colossus', 'flowanastasia']",Seeker
3215,0.581,0.362,-12.162,0.0799,0.832,0.84,0.0608,0.912,182.846,0,31,8,4KqZo6zGnp8OEbaV2dEcBS,"['Technimatic', 'A Little Sound']",Lakota
3216,0.542,0.868,-4.581,0.037,0.114,0.0224,0.356,0.65,120.016,0,0,3,10WAwQ7rvTTLpRxA2jCwPx,['Andromedik'],Close To Me
3217,0.502,0.558,-3.937,0.0371,0.82,2.73e-05,0.135,0.576,139.608,0,0,8,1xnmwK49iWZQJnCPD6Fnez,"['Monrroe', 'Telomic']",Need Nothing
3218,0.698,0.633,-4.946,0.0597,0.0605,0.000194,0.0926,0.552,96.924,1,82,7,5hr7rWiBWaSAHSr6A3KHj8,['Humanature'],Blinded By Your Light
3219,0.505,0.746,-7.793,0.0271,0.00165,0.0455,0.266,0.723,138.131,0,0,3,10PuyDChQhG8aZmsbsCvJI,['Nelver'],Viewpoint
3220,0.422,0.759,-8.537,0.0441,0.019,0.128,0.247,0.194,138.737,0,0,1,1P8R1RhRzd34vYratXLUVL,"['BCee', 'Becca Jane Grey', 'Chords']",Can't Choose
3221,0.393,0.443,-14.09,0.0256,0.121,0.000129,0.0976,0.51,88.531,0,0,8,5jH4rMly77CeGmqYmZL68m,['Surreal'],Sort It Out
3222,0.701,0.944,-2.986,0.0455,0.0755,0.0,0.601,0.792,128.993,0,79,5,4qGUtY8o2BesmiMgZNPwX0,"['NCT', 'Futurebound']",The Feeling
3223,0.835,0.481,-7.188,0.387,0.0308,0.000501,0.0896,0.34,139.581,0,0,4,6s2HDlhNBTX1PMXqzLWvnu,['Leniz'],Midnight Dub
3224,0.735,0.942,-4.726,0.0626,0.107,0.000165,0.151,0.872,125.008,0,0,3,2vEWcHnZNQO3UKqTWWUePx,"['Telomic', 'Beloved In Love', 'Laura Brehm']",Gravity Within
3225,0.211,0.183,-10.531,0.0344,0.995,0.00845,0.141,0.216,83.858,0,3,8,4tGjdwIUpjhYIqeoL0KEG4,"['Edlan', 'Air.K & Cephei']",Saving You - Air.K & Cephei Remix
3226,0.872,0.361,-9.88,0.0609,0.283,0.00262,0.108,0.489,100.001,0,0,3,3GPPPvdCUFEfEuuWp8gy46,['T & Sugah'],Wicked Days
3227,0.574,0.193,-12.703,0.0484,0.478,0.0909,0.11,0.184,87.678,0,41,8,7hHrOCltbB3FM9nlxN1OzQ,"['Hiraeth', 'Phoebe Freya']",I Will
3228,0.782,0.874,-3.57,0.0384,0.0027,0.343,0.0766,0.872,125.917,0,58,0,3yTALncfLKp3olqjZAm6mS,['Hiraeth'],Nightglow
3229,0.6,0.853,-7.584,0.0423,0.0489,0.346,0.0934,0.847,94.457,0,0,3,3t2VKRbdm8urf6McjW0mfo,['T & Sugah'],Is This Love
3230,0.709,0.942,-8.434,0.0428,0.00347,0.597,0.091,0.223,104.994,1,26,7,1Pi4KVSRsvnPkKEjVWyaaJ,['Low:r'],Hook A Duck
3231,0.677,0.454,-8.319,0.0487,0.98,0.832,0.129,0.558,79.011,0,0,8,6aGSe9H3xUXNuOGqjNVyJA,"['Telomic', 'Ella Noël']",Let Me Go
3232,0.505,0.0477,-23.032,0.0278,0.91,2.61e-06,0.0675,0.309,78.856,0,45,6,2hJMN8lCygwx3VV67LkwBP,"['Nelver', 'Aperio']",Constellations
