,0
778,none
779,ukg revival
780,eurodance
781,none
782,indie soul
783,none
784,classical
785,banjo
786,none
787,mellow gold
788,none
789,synthpop
790,rock-and-roll
791,classic romanian pop
792,none
793,none
794,none
795,uk contemporary jazz
796,indie r&b
797,none
798,none
799,indie jazz
800,mandopop
801,indian lo-fi
802,none
803,indie soul
804,classical
805,none
806,none
807,melodic rap
808,none
809,deconstructed club
810,dark techno
811,none
812,hip hop
813,none
814,none
815,progressive trance house
816,japanese house
817,funk
818,none
819,grebo
820,none
821,none
822,pop
823,none
824,none
825,classic israeli pop
826,musica mexicana
827,uk dancehall
828,none
829,progressive trance
830,none
831,house
832,avant-garde jazz
833,trap queen
834,none
835,rhythm and blues
836,none
837,british folk
838,ccm
839,rock nacional brasileiro
840,avant-garde
841,none
842,chamber psych
843,classical performance
844,none
845,none
846,german baroque
847,classical flute
848,none
849,french soundtrack
850,pop punk
851,new jack swing
852,hardcore techno
853,manchester indie
854,modern rock
855,edm
856,brostep
857,diva house
858,pop
859,classic house
860,none
861,focus beats
862,baroque
863,belgian edm
864,none
865,none
866,appalachian folk
867,melodic techno
868,none
869,contemporary r&b
870,none
871,rhythm and blues
872,none
873,none
874,none
875,swedish electropop
876,german rock
877,none
878,pop dance
879,none
880,new romantic
881,none
882,none
883,none
884,none
885,schlager
886,none
887,lo-fi beats
888,none
889,none
890,english indie rock
891,alternative rock
892,lo-fi jazzhop
893,alternative hip hop
894,jamaican dancehall
895,none
896,none
897,western swing
898,future bass
899,none
900,none
901,lo-fi beats
902,new french touch
903,none
904,none
905,none
906,none
907,muzica crestina
908,funky tech house
909,synthpop
910,electra
911,none
912,none
913,none
914,none
915,none
916,none
917,none
918,hyperpop
919,none
920,none
921,footwork
922,none
923,new wave
924,none
925,modern rock
926,none
927,none
928,none
929,art pop
930,glam metal
931,canadian pop
932,none
933,corridos tumbados
934,ukrainian electronic
935,none
936,none
937,chilean rock
938,none
939,alt z
940,float house
941,hyperpop
942,none
943,contemporary jazz
944,electropop
945,ye ye
946,none
947,lo-fi jazzhop
