,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
76,0.596,0.785,-7.246,0.0478,0.0126,0.704,0.0587,0.0856,174.012,7MY3u2aqFLwduYFFkFSBIS,290858
77,0.333,0.955,-4.034,0.043,0.000417,0.0151,0.0921,0.167,173.96,3nhqkjTyAw99GlrqkreqWZ,272257
78,0.517,0.94,-3.327,0.0989,0.000182,0.274,0.104,0.0381,172.0,6y2spv5KL83cb7JLR6Soi1,280665
79,0.419,0.911,-4.378,0.0458,0.00852,0.702,0.0784,0.206,173.993,1gB4WuGtA8UrKjzE95i2GZ,249529
80,0.403,0.95,-4.588,0.0371,0.000133,0.111,0.133,0.148,174.009,1GJxWba2egokC4OQaTO0q2,252566
81,0.639,0.976,-3.439,0.053,6.87e-05,0.828,0.0813,0.506,174.029,4mqBCBdOuyHo2Fr9xr3EOc,269166
82,0.383,0.964,-3.472,0.0975,9.88e-05,0.167,0.12,0.188,174.023,3Li9ML7jzuVcwV17bmPJ9p,232931
83,0.511,0.917,-4.558,0.0457,0.000745,0.919,0.297,0.25,176.554,7KYoI3sqPQv80FQ6EIzFZ9,337666
84,0.631,0.958,-4.373,0.0464,0.000389,0.815,0.106,0.376,175.074,27SoVgNTzklyD74geTMwjK,247057
85,0.564,0.803,-4.352,0.0433,0.0126,0.86,0.172,0.22,174.004,6aWAWYzioxLM04d6xcAy7a,294991
86,0.511,0.788,-4.303,0.0419,0.000488,0.759,0.173,0.0398,173.954,7iE8oTJXyhjKxGG1cznmgD,271078
87,0.5,0.685,-6.454,0.038,0.00111,0.0688,0.0718,0.0765,174.03,7fn2IquBmtqJDQNEI3osn3,315071
88,0.493,0.992,-2.258,0.0664,8.06e-05,0.906,0.146,0.12,174.056,6CQPEzKVvfyZy0UX4yBNmg,252504
89,0.641,0.579,-6.104,0.044,0.0239,0.178,0.171,0.0623,87.016,2Rm6wL0MMPNiHf7pUZtiTy,325717
90,0.575,0.676,-4.947,0.0388,0.266,0.877,0.123,0.194,175.978,2OVQjXbQ2Ctw7Pdv7SgqhM,223525
91,0.564,0.593,-5.764,0.0416,0.0172,0.836,0.381,0.138,171.993,6qW8HxWXW5uR73Cw2AiS0n,270341
92,0.631,0.958,-4.373,0.0464,0.000389,0.815,0.106,0.376,175.074,3ALrfXmZn4y0rhzLTO5nTj,247057
93,0.64,0.745,-4.612,0.058,0.0355,0.754,0.368,0.499,174.028,0EA6WYeevBIiM7pJi8naTr,270545
94,0.433,0.855,-5.337,0.0371,0.000812,0.672,0.134,0.0584,171.967,0AlOaRmTPTAR3GkYWUENQe,318401
95,0.53,0.721,-5.204,0.044,0.000724,0.692,0.0683,0.0544,174.015,4heG6IzOZWDKDZsIzW7VyZ,298885
96,0.483,0.889,-5.268,0.0924,0.000713,0.00183,0.139,0.339,173.961,1ZmFzNZ4wKaSwlJ9HGyFFt,256752
97,0.473,0.934,-4.262,0.0404,0.0015,0.0378,0.253,0.312,173.99,3q8U6iiputElHUHITXGw3P,270396
