danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song_title,explicit,popularity
0.689,0.675,-4.281,0.32,0.531,3.17e-06,0.115,0.604,180.065,456xBIOmLRoLzCvCzZrWge,205600,"[['J Balvin', 'Pharrell Williams', 'BIA', 'Sky Rompiendo']]",Safari,False,69
0.903,0.675,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,3V8UKqhEK5zBkBb6d6ub8i,417920,"[['Nio Garcia', 'Casper Magico', 'Bad Bunny', 'Darell', 'Ozuna', 'Nicky Jam']]",Te Boté - Remix,True,78
0.773,0.57,-3.482,0.113,0.372,0.00524,0.108,0.772,95.038,0FDMH2ahuIVzCybwHJK9zh,187125,[['Anuel AA']],Quiere Beber,False,70
0.485,0.388,-5.729,0.0326,0.528,0.0,0.131,0.696,159.672,4pIiKrGXCgTZOAFGJjCEvL,203520,[['Jenni Rivera']],Ya Lo Sé,False,63
0.775,0.452,-4.243,0.0311,0.58,0.0,0.17,0.606,129.941,3VK8copXwqvAueMPhnBe6K,234360,[['Calibre 50']],Siempre Te Voy A Querer,False,69
0.787,0.872,-1.397,0.0871,0.168,1.51e-06,0.0408,0.46,95.995,5nCtCCB5i1OfbADvynNw0i,237664,"[['Ed Sheeran', 'Lennox', 'Zion']]",Shape of You (feat. Zion & Lennox) - Latin Remix,False,57
0.809,0.508,-9.182,0.0328,0.654,0.000224,0.105,0.732,121.968,3fk5fBFB27GbWGATdBpOgr,181467,[['Vicente Garcia']],Carmesí,False,64
0.579,0.841,-4.073,0.0324,0.314,0.0,0.199,0.964,165.934,7yAwyQ2np0KRjeXsGwirez,159027,[['Gerardo Ortiz']],Dámaso,False,64
0.628,0.69,-5.83,0.0511,0.443,0.0,0.113,0.66,179.908,7qCAVkHWZkF44OzOUKf8Cr,205907,"[['Nicky Jam', 'Enrique Iglesias']]",El Perdón (with Enrique Iglesias),False,75
0.675,0.588,-7.168,0.177,0.789,0.0,0.95,0.879,79.989,3kNVYo6BJE9AENxzokM9YC,189867,[['Calle 13']],Muerte En Hawaii,False,71
0.778,0.635,-2.892,0.112,0.107,0.0,0.0608,0.379,90.008,6Q4foUefrAyCt8VxJFML56,162053,[['MC Kevinho']],Olha A Explosão,False,70
0.73,0.777,-5.199,0.0479,0.108,0.000467,0.069,0.591,130.0,3STTVKfJGTdhbg5aLppEzX,284867,"[['Jennifer Lopez', 'Pitbull']]",On The Floor,False,53
0.676,0.519,-3.134,0.0321,0.659,0.0,0.0834,0.843,152.186,2uJBWMV8A7fCSnrAe4vT9M,211777,"[['Ariel Camacho y Los Plebes Del Rancho', 'Gerardo Ortiz']]",Te Metiste,False,39
0.796,0.643,-6.965,0.179,0.147,0.0,0.507,0.316,134.09,1M9gupJZxS3LdK8R6UZfYH,451343,"[['DJ Luian', 'Mambo Kingz', 'Ozuna', 'De La Ghetto', 'Arcangel', 'Anuel AA', 'Daddy Yankee', 'Nicky Jam', 'Farruko', 'J Balvin', 'Zion']]",La Ocasión - Remix,True,63
0.745,0.66,-5.461,0.0878,0.0575,0.0,0.108,0.934,95.154,0mwPE0lPOgnWf2bo14xedJ,167453,[['Juanes']],Fuego,False,57
0.538,0.508,-8.963,0.038,0.679,0.00272,0.126,0.294,171.98,71t9GoojGIMZLySI6imKFY,229406,[['Manuel Medrano']],Afuera Del Planeta,False,65
0.819,0.48,-6.966,0.0489,0.685,2.03e-06,0.116,0.759,114.04,4PR0r2us3a64lTew6TVlF2,200162,[['Fuerza Regida']],Sigo Chambeando,False,68
0.74,0.849,-3.171,0.113,0.524,0.0,0.0911,0.964,165.91,58rgceeiYu1wFneDP2j5LJ,144147,[['Banda Los Recoditos']],Ando Bien Pedo,False,62
0.84,0.805,-4.284,0.204,0.156,5.64e-06,0.0642,0.614,96.158,2JosC6dbfPW6NGNFPeBi7n,212500,"[['DJ Snake', 'Selena Gomez', 'Ozuna', 'Cardi B']]",Taki Taki,True,44
0.715,0.964,-3.176,0.162,0.0985,0.0,0.291,0.535,91.975,4777sGsOdoM89vPH3CVoLe,304747,"[['Luny Tunes', 'Daddy Yankee', 'Don Omar', 'Wisin & Yandel']]",Mayor Que Yo 3,False,65
0.595,0.773,-4.736,0.0549,0.0364,0.00108,0.334,0.711,180.073,39N9RPD9MRb5WmoLzNzPeA,173628,"[['Nicky Jam', 'J Balvin']]",X,False,2
0.713,0.885,-3.755,0.502,0.124,0.0,0.117,0.782,129.081,4FWc4riVdgHEHYagCcaCY4,205357,[['MC Guime']],Na Pista Eu Arraso,False,0
0.589,0.62,-9.272,0.0355,0.569,0.0,0.0878,0.714,88.807,7AsFFiQEozWPh4BiHTTwkN,253507,[['Grupo Revelação']],Deixa Acontecer,False,53
0.505,0.825,-5.702,0.0339,0.0377,0.00137,0.154,0.715,140.068,7zjNMiL84Y0UmU5guQBVLC,299293,[['Suricato']],Inseparáveis,False,7
0.632,0.381,-5.933,0.0675,0.745,0.0,0.148,0.399,81.812,0Ou8jFqQUhmaA5AzYv1IEN,200574,[['Fernando & Sorocaba']],Gaveta,False,0
0.349,0.757,-2.438,0.0363,0.489,0.0,0.432,0.393,179.783,18EO0a9N2BhxhufAh2BJh6,248733,[['Marcos & Belutti']],Domingo de Manhã,False,0
0.765,0.739,-6.651,0.161,0.316,0.0,0.134,0.867,139.981,3k3hEG7RGj7S8SzJ08YdIM,201200,[['Psirico']],Lepo Lepo,False,36
0.68,0.827,-4.722,0.0674,0.25,0.0,0.698,0.618,120.033,28DG0pc63n1a2Iwyg8xCPM,202707,[['Henrique & Juliano']],Recaidas - Ao Vivo,False,28
0.674,0.921,-3.515,0.0426,0.117,0.0,0.151,0.804,92.989,5fQ92ZcbeS2fF3YezS7B61,225187,[['Chayanne']],Humanos a Marte,False,0
0.502,0.572,-4.464,0.0271,0.112,0.0,0.095,0.19,72.01,5i3WA6KMNgTbhfv7Klj0x9,226800,[['Aleks Syntek']],Este Amor Que Pudo Ser,False,16
0.864,0.734,-4.357,0.178,0.173,0.0,0.21,0.807,132.094,4k3HBeh98WWN2ybGHC0WQI,164615,[['Valesca Popozuda']],Beijinho no Ombro,False,50
0.689,0.803,-6.597,0.0327,0.028,0.0,0.11,0.919,100.014,5g5VRjwnN5tqgd7KIRiAVX,209240,[['Kalimba']],Un Nuevo Mundo Sin Ti,False,0
0.598,0.748,-4.929,0.033,0.0126,0.0,0.0949,0.342,124.045,4YREolkVupJOoB3JoZdsUF,211747,[['Camila']],Decidiste Dejarme,False,33
0.781,0.881,-3.816,0.173,0.124,0.0,0.245,0.7,125.057,5KMoHHy3cQLGNHRZDPFtRf,219467,[['Alexis y Fido']],Alócate,False,30
0.563,0.416,-7.888,0.0313,0.243,0.0,0.155,0.31,79.123,3bspEm6gzAxnPdufhiHAhX,244707,[['Ricardo Arjona']],Apnea,False,59
0.642,0.65,-5.132,0.0592,0.028,0.0,0.105,0.879,165.967,6MPFeILrLeVVgRj4pS5mj9,221520,[['Luis Fonsi']],Corazón En La Maleta,False,0
0.567,0.846,-6.051,0.0468,0.0924,0.0,0.124,0.553,80.996,6iEsWL1V1R3d5XPuAGYk5g,247720,[['Carlos Vives']],La Foto de los Dos,False,28
0.592,0.944,-4.487,0.226,0.0152,0.0,0.24,0.437,127.918,0wsNs9SklQsrdepDTYYMom,201179,[['Don Omar']],Pura Vida,False,0
0.837,0.777,-3.882,0.0334,0.426,0.0,0.24,0.848,126.008,2GbSSE6AMeNseedCJP1yGs,283947,[['Raulin Rodriguez']],Esta Noche,False,0
0.746,0.818,-4.843,0.0378,0.0435,2.99e-05,0.311,0.89,119.975,61k0dkayk6pLdp272POe11,225133,"[['Maluma', 'Eli Palacios']]",La Temperatura (feat. Eli Palacios),False,51
0.64,0.909,-3.993,0.0324,0.00611,0.0703,0.024,0.173,125.98,3Se6JGPHhS4CdsjdykWA0m,257413,"[['Poncho', 'Alejandro Alvarez']]",Music Don't Stop,False,21
0.525,0.49,-6.196,0.0329,0.465,0.0,0.329,0.843,152.343,0WIQWLEjH9fyuXp3mwlH1R,198387,[['Noel Torres']],Para Qué Tantos Besos,False,0
0.834,0.865,-6.424,0.0459,0.37,0.0,0.209,0.914,118.047,7sx7G5Wf3DauBG4FXS5dVI,237680,[['Chino & Nacho']],Tu Angelito,False,0
0.875,0.905,-3.407,0.134,0.179,0.0,0.115,0.937,112.5,56Yjs69GnCg1d4OJL91Yk4,182720,[['Tito Torbellino']],Yo Soy Hijo Del 7,False,0
0.773,0.676,-5.634,0.099,0.29,0.0,0.277,0.938,124.954,1giHG26ew5FJIPdYfyvdZo,209804,[['El Komander']],Soy De Rancho,False,60
0.37,0.594,-6.58,0.0447,0.125,0.0,0.981,0.156,181.536,0jxrcRzomtTQrcDOVQ3n3b,245493,[['Alejandra Guzman']],Mi Peor Error - Primera Fila [En Vivo],False,32
0.764,0.804,-3.808,0.0294,0.0375,0.0,0.155,0.642,130.079,52IreIJblsuK0SAJDIIh6v,224787,[['Paulina Rubio']],Ni Una Sola Palabra,False,0
0.575,0.679,-3.845,0.0278,0.0664,0.0,0.0956,0.601,107.878,6fUPhsI7pGxzmKRU6kzKY0,187520,[['Julieta Venegas']],Me Voy,False,0
0.571,0.303,-10.479,0.0362,0.885,0.0,0.0932,0.354,144.021,50xvGsnNmO3k5EtaUBXRRr,240307,[['Sin Bandera']],Suelta Mi Mano,False,66
0.73,0.881,-4.824,0.0395,0.0859,0.0,0.209,0.661,95.005,1CZ1mdGMPLNyHk7kc24DEj,226187,"[['Tito ""El Bambino""']]",Mi Cama Huele a Tí,False,0
0.537,0.502,-8.406,0.025,0.44,0.0709,0.199,0.288,80.511,3oqWr0jDWNXxWufNogGREp,232027,[['Gustavo Cerati']],Crimen,False,71
0.673,0.753,-5.002,0.119,0.272,0.0,0.071,0.424,120.057,3FifroUyur8j5mTM78WuXQ,311347,"[['Alejandro Sanz', 'Aleks Syntek', 'Bebe', 'Belinda', 'Carlos Jean', 'Daddy Jean', 'David Otero', 'Enrique Iglesias', 'Estopa', 'Hombres G', 'Juanes', 'Kun Agüero', 'La Mala', 'La Oreja de Van Gogh', 'Macaco', 'Marta Sánchez', 'Merce', 'Miguel Bosé', 'Najwa', 'OBK', 'Sandra Carrasco', 'Shakira', 'Wally Lopez']]",Ay Haiti!,False,65
0.588,0.268,-9.639,0.0261,0.869,0.0,0.149,0.435,85.978,4XhqLlodOmH3HVoyztS1zA,165653,[['Reik']],Creo en Ti,False,0
0.756,0.566,-6.783,0.0332,0.596,0.0,0.208,0.944,133.984,0VfUUbMTjpXTqrSJpALJLJ,260267,[['Toby Love']],Tengo un Amor,False,0
0.637,0.945,-3.54,0.135,0.0373,0.0,0.116,0.578,198.05,2UYXTSZkSxWJYGpcd64SRO,197053,[['Daddy Yankee']],La Nueva Y La Ex,False,1
0.793,0.923,-4.96,0.0657,0.231,6.55e-05,0.0613,0.963,132.037,3HzEnAJzOciO5r4rcJ7w1a,193453,"[['3BallMTY', 'América Sierra', 'El Bebeto']]",Inténtalo,False,0
0.63,0.548,-8.814,0.0286,0.0836,0.0988,0.0549,0.271,98.25,5c94BsXHs1WH1masIMJIje,185386,[['Conjunto Primavera']],Jugando Al Amor,False,23
0.752,0.744,-5.101,0.107,0.144,0.0,0.307,0.74,176.084,3MVtL0Trf5zNiJQfLVIl9M,243653,"[['J Balvin', 'Farruko']]",6 AM,False,0
0.657,0.671,-2.557,0.083,0.179,0.0,0.157,0.729,154.823,5t6zMkfjZfxobadkrmgkjJ,259560,[['Calibre 50']],El Tierno Se Fue,False,0
0.675,0.655,-8.317,0.108,0.411,0.0,0.893,0.797,159.909,0kqtyu6GLI2RGdanxn7Ne8,186473,[['Anitta']],Cobertor (Participação especial de Projota) - Ao vivo,False,32
0.568,0.837,-4.01,0.0465,0.269,0.0,0.11,0.854,174.061,1Tditr5KyzStSK3GiO6Xlj,193680,[['Cristiano Araújo']],Maus Bocados,False,61
0.778,0.786,-8.463,0.0491,0.157,0.0,0.349,0.883,96.038,5M8rc7DOM5MW1F8eP0OX9a,170120,[['Thiaguinho']],"Caraca, Muleke!",False,54
0.722,0.718,-5.747,0.0271,0.77,0.000161,0.0928,0.433,124.987,3VZrlQQ4Ro9OendghWTcyk,249400,[['Lucas Lucco']],Mozão,False,47
0.617,0.879,-6.25,0.0534,0.358,0.0,0.0776,0.795,100.964,3CrqlShY8jG9deUOZHNzuo,265507,[['Diego Torres']],Color Esperanza,False,45
0.8,0.723,-6.404,0.0353,0.344,0.0,0.0956,0.916,128.017,1Q8NiatGDc6YgefNwT7Jgu,220067,"[['Thalia', 'Prince Royce']]",Te Perdiste Mi Amor (feat. Prince Royce),False,64
0.452,0.699,-7.06,0.0755,0.0844,0.0,0.278,0.341,106.789,6hNkhvhy5ersmVRGFTuIps,546547,[['Juan Gabriel']],Hasta Que Te Conocí - En Vivo [Desde el Instituto Nacional de Bellas Artes],False,48
0.753,0.889,-3.866,0.127,0.289,1.12e-06,0.177,0.381,105.913,7DMqnHA51jBVNVrnBxsEkp,363813,[['Pirulo y la Tribu']],La Calle Linda,False,0
