,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
100,0.61,0.807,-4.997,0.0305,0.0769,2.64e-06,0.376,0.689,112.031,6lsumzVFKP9SnfKcuGwqVp,214720
101,0.125,0.0984,-21.143,0.0477,0.993,0.00771,0.0599,0.0256,79.295,4QVnvHZHKFOglkAuMlCWAZ,207573
102,0.571,0.878,-7.399,0.486,0.179,0.0,0.373,0.808,82.21,3sD1NL6pSTPq6ldLE6jkCc,163453
103,0.699,0.638,-5.838,0.0257,0.182,0.0,0.0669,0.645,120.835,4yJ0UodyCeX13Q1JxLuk4L,239187
104,0.631,0.122,-18.415,0.954,0.438,3.45e-05,0.154,0.243,84.106,5CJ0tCHj4XOeN4LG6gdrPA,234373
105,0.302,0.0352,-23.317,0.0387,0.887,0.532,0.19,0.268,142.199,29tqJDvsUQD0Elzh0gfeRY,55827
106,0.349,0.448,-6.633,0.0307,0.308,0.000483,0.115,0.177,76.041,0dqzkiGeQJsKODOEDrxAsI,240240
107,0.616,0.98,-7.505,0.13,0.00394,0.762,0.39,0.596,165.009,3Ge22AwGyEVNtEL8jMn7ZP,312200
108,0.0654,0.0306,-24.665,0.0345,0.85,0.895,0.121,0.0349,74.629,0KIZ5Ser293PTUtY1x6Gha,194625
109,0.57,0.224,-15.327,0.0498,0.979,0.917,0.117,0.596,119.027,1cr6Kv31hPzvae2z7cwADa,190825
110,0.544,0.648,-8.079,0.29,0.0068,0.000919,0.503,0.956,142.026,5FR54UnizyI8pE5E9Zb0Dt,324800
111,0.449,0.286,-11.393,0.0418,0.803,0.776,0.287,0.65,168.044,4wOrMsgnoZMANI0X5tqupJ,145667
112,0.167,0.197,-17.232,0.039,0.942,0.336,0.15,0.0694,79.987,2bSsY4nhJbDFYshwZVlggx,254853
113,0.443,0.557,-6.714,0.0266,0.275,1.32e-05,0.124,0.243,144.015,11jWJHIPj97VsZlCk72KDF,336680
114,0.862,0.571,-6.224,0.0924,0.0349,0.0,0.121,0.257,123.075,2cxQalNob00d1cD8hxVS3r,210363
115,0.367,0.0314,-26.084,0.0546,0.994,0.917,0.0755,0.049,67.632,1C6b5PWiksr3RbiJLdOR4c,144960
116,0.726,0.939,-3.45,0.0553,0.102,0.0103,0.586,0.138,127.934,6vSDjiTPramX72oNM1yOxC,218630
117,0.82,0.731,-6.02,0.159,0.0133,1.94e-05,0.131,0.793,127.076,5RzFJd6W40SDTyZkX6xx45,237120
118,0.686,0.706,-17.678,0.0548,0.0221,0.862,0.108,0.109,120.025,03VbfUcx8OOT5HLYzCJQzE,161727
119,0.622,0.217,-15.719,0.16,0.996,0.798,0.127,0.78,74.856,2Ihctv8Y8zNmFiPx6KYDIY,196160
120,0.43,0.782,-6.994,0.0381,0.00579,2.9e-06,0.0778,0.199,102.75,4QC8jcFhi2OxxQzCK3JXXQ,273067
