danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song_title,explicit,popularity
0.276,0.978,-2.882,0.073,6.72E-06,0.102,0.359,0.434,106.967,0TT5rG6JOdzv5FkujZ4O9B,305659,['Dimmu Borgir'],Burn in Hell,FALSE,46
0.447,0.74,-11.217,0.0416,0.0907,9.42E-06,0.177,0.447,111.999,17A7mvuAT52MdTk5fwe3LH,265167,['Pantelis Vassilakis'],Take You There,FALSE,13
0.387,0.436,-6.657,0.0353,0.706,0,0.0595,0.671,173.739,2wJUgOINjCBhZXMT9GyyyU,205854,['Acoustic Classics'],The Times They Are A-Changin',FALSE,5
0.712,0.419,-11.837,0.0498,0.0163,0.888,0.0701,0.923,113.106,77fJCFtIZYaIKGsYG3CcRf,365747,['Dancing Mood'],Mood Indigo,FALSE,21
0.138,0.0391,-24.523,0.0396,0.892,0.716,0.107,0.0523,69.741,4V3O5g0CURiuhE4yJJsIgA,77616,['Neurosounds'],Wagnis,FALSE,0
0.526,0.441,-11.885,0.0433,0.247,0.00352,0.0781,0.414,88.113,4JTLgG1ZHr7gCyUaKTLYzS,294227,['Johnny Devlin'],Rock and Roll (I Gave You the Best Years of My Life),FALSE,0
0.196,0.135,-22.537,0.0603,0.973,0.824,0.119,0.146,80.594,3o8PSl7FoUhMYDvFQp5opt,125200,"['Banda Sinfónica La Artística, Buñol']",Our Man In Paris,FALSE,0
0.641,0.559,-11.132,0.0355,0.404,0.00402,0.0937,0.523,144.982,0Oqc0kKFsQ6MhFOLBNZIGX,202193,['Lana Del Rey'],Doin' Time,TRUE,81
0.694,0.263,-13.145,0.0322,0.715,0.0117,0.106,0.522,89.563,1CgaREnlrG5QLupknBhcep,269301,"['Echoes of Swing', 'Rebecca Kilgore']",Stopping by Woods on a Snowy Evening,FALSE,4
0.643,0.848,-5.721,0.138,0.124,0.203,0.656,0.614,142.195,6Jf9Myq8Ydqnt9QjPUInks,196773,['King Tubby'],King Tubby's in Fine Style,FALSE,0
0.642,0.213,-9.649,0.177,0.993,0,0.143,0.535,86.78,5fHiRGSpoGPWJ7hG6uHlL7,194090,['Claire Waldoff'],Wer schmeisst denn da mit Lehm,FALSE,20
0.273,0.225,-23.2,0.0487,1.66E-05,0.949,0.592,0.0776,99.735,0HMhROFKqcBKNgND504dkn,160394,['Pro Sound Effects Library'],Transported to Nature,FALSE,0
0.433,0.412,-8.077,0.0424,0.164,0.000437,0.206,0.718,182.022,2M77ssXg1yzzzlgQTCiG1w,259120,['Alex van Holstein & Eefje de Visser'],"Zijn opa dood, zijn meisjes lief",FALSE,0
0.61,0.807,-4.997,0.0305,0.0769,2.64E-06,0.376,0.689,112.031,6lsumzVFKP9SnfKcuGwqVp,214720,['Morcheeba'],Rome Wasn't Built in a Day,FALSE,61
0.125,0.0984,-21.143,0.0477,0.993,0.00771,0.0599,0.0256,79.295,4QVnvHZHKFOglkAuMlCWAZ,207573,"['Arne Mellnäs', 'Rilke Ensemble', 'Gunnar Eriksson']",Sweet Spring: No. 2. Elegiac Sonnet,FALSE,0
0.571,0.878,-7.399,0.486,0.179,0,0.373,0.808,82.21,3sD1NL6pSTPq6ldLE6jkCc,163453,['NoJustice'],Gas Mask,FALSE,0
0.699,0.638,-5.838,0.0257,0.182,0,0.0669,0.645,120.835,4yJ0UodyCeX13Q1JxLuk4L,239187,['Nicki'],So a Wunder,FALSE,18
0.631,0.122,-18.415,0.954,0.438,3.45E-05,0.154,0.243,84.106,5CJ0tCHj4XOeN4LG6gdrPA,234373,"['Sabine Fisch', 'Eva Becker']","Track 77 - Die Ärztin - Der Weg einer unerschrockenen Frau - Amelie von Liebwitz, Band 2",FALSE,8
0.302,0.0352,-23.317,0.0387,0.887,0.532,0.19,0.268,142.199,29tqJDvsUQD0Elzh0gfeRY,55827,"['Ludwig van Beethoven', 'Berliner Philharmoniker', 'Herbert von Karajan']","Musik zu einem Ritterballett (1790-91), WoO 1: Deutscher Gesang (da capo) (I)",FALSE,0
0.349,0.448,-6.633,0.0307,0.308,0.000483,0.115,0.177,76.041,0dqzkiGeQJsKODOEDrxAsI,240240,"['Marcus Warner', 'Fatma Fadel']",You,FALSE,20
0.616,0.98,-7.505,0.13,0.00394,0.762,0.39,0.596,165.009,3Ge22AwGyEVNtEL8jMn7ZP,312200,['Dj Konik'],Velocity 5,FALSE,3
0.0654,0.0306,-24.665,0.0345,0.85,0.895,0.121,0.0349,74.629,0KIZ5Ser293PTUtY1x6Gha,194625,['Lost Wings'],Echoes,FALSE,50
0.57,0.224,-15.327,0.0498,0.979,0.917,0.117,0.596,119.027,1cr6Kv31hPzvae2z7cwADa,190825,['Greg and Heidi Walker'],Open Plains,FALSE,5
0.544,0.648,-8.079,0.29,0.0068,0.000919,0.503,0.956,142.026,5FR54UnizyI8pE5E9Zb0Dt,324800,['Ginuwine'],Pony,FALSE,62
0.449,0.286,-11.393,0.0418,0.803,0.776,0.287,0.65,168.044,4wOrMsgnoZMANI0X5tqupJ,145667,['Holzkamer Saitenmusik'],Weilheimer Walzer,FALSE,8
0.167,0.197,-17.232,0.039,0.942,0.336,0.15,0.0694,79.987,2bSsY4nhJbDFYshwZVlggx,254853,['Rockettothesky'],Song of Pearl,FALSE,7
0.443,0.557,-6.714,0.0266,0.275,1.32E-05,0.124,0.243,144.015,11jWJHIPj97VsZlCk72KDF,336680,"['Iron Bell Music', 'Joel Gerdis']",Sons & Daughters (feat. Joel Gerdis) (feat. Joel Gerdis),FALSE,33
0.862,0.571,-6.224,0.0924,0.0349,0,0.121,0.257,123.075,2cxQalNob00d1cD8hxVS3r,210363,"['Kevin Gates', '2 Chainz']",Bet I'm on It (feat. 2 Chainz),TRUE,38
0.367,0.0314,-26.084,0.0546,0.994,0.917,0.0755,0.049,67.632,1C6b5PWiksr3RbiJLdOR4c,144960,"['Erik Satie', 'Klara Kormendi']",3 Gnossiennes: No. 3: Lent,FALSE,5
0.726,0.939,-3.45,0.0553,0.102,0.0103,0.586,0.138,127.934,6vSDjiTPramX72oNM1yOxC,218630,"['Dimitri Vegas & Like Mike', 'Angemi']",Garden of Madness,FALSE,38
0.82,0.731,-6.02,0.159,0.0133,1.94E-05,0.131,0.793,127.076,5RzFJd6W40SDTyZkX6xx45,237120,['Pitbull'],I Know You Want Me (Calle Ocho),FALSE,70
0.686,0.706,-17.678,0.0548,0.0221,0.862,0.108,0.109,120.025,03VbfUcx8OOT5HLYzCJQzE,161727,['Makkuteno'],Step Ahead,FALSE,21
0.622,0.217,-15.719,0.16,0.996,0.798,0.127,0.78,74.856,2Ihctv8Y8zNmFiPx6KYDIY,196160,['Willard Robinson & His Orchestra'],I'm More Than Satisfied,FALSE,11
0.43,0.782,-6.994,0.0381,0.00579,2.90E-06,0.0778,0.199,102.75,4QC8jcFhi2OxxQzCK3JXXQ,273067,['The Cranberries'],Ridiculous Thoughts,FALSE,16
0.601,0.972,-1.767,0.0563,0.0701,0,0.165,0.941,133.74,4ebKRYnUm7pSy5xEnHhjs3,93133,['FLOW'],GO!!! 〜NARUTO OPENING MIX〜,FALSE,52
0.577,0.301,-17.639,0.0418,0.841,0.159,0.164,0.929,140.936,0A6kql2bAq3qK5pw1MUH5H,141333,"['Friedrich II', 'Michala Petri', 'George Malcolm']",Sonata in D for recorder and continuo: 3. Allegro,FALSE,0
0.639,0.259,-11.552,0.098,0.501,0.891,0.115,0.288,77.981,6fkEXnxYYmw9n9VUkN4Eh3,135497,['Cold'],Existence,FALSE,42
0.487,0.455,-8.851,0.0254,0.538,0,0.087,0.521,101.991,2dHYIh5L1eYqk1mRiaC8pF,281360,['Yahoo'],Sonho Encantado,FALSE,16
0.551,0.721,-5.128,0.0267,0.0396,0,0.119,0.376,112.028,0TMghLRnXMyKQ9Ccy3r1gf,208400,['The Calling'],Wherever You Will Go,FALSE,0
0.457,0.21,-20.206,0.0364,0.867,0.00864,0.244,0.783,92.683,6xpAB2D74V6RN6by0C6ieZ,175027,"['Johann Sebastian Bach', 'Elizabeth Wallfisch', 'Orchestra of the Age of Enlightenment']","Bach, JS: Violin Concerto No. 2 in E Major, BWV 1042: III. Allegro assai",FALSE,21
0.154,0.145,-19.186,0.0387,0.931,0.929,0.208,0.0396,80.646,5IXf9tX70fon4WLqSigpxn,186133,['John Williams'],Peace and Purpose,FALSE,19
0.5,0.355,-10.379,0.0274,0.531,1.44E-05,0.127,0.211,130.802,5vGxttgHXGt0eALSSXXnof,217306,['Hollywood Symphony Orchestra'],"Nobody Does It Better (From ""The Spy Who Loved Me"")",FALSE,4
0.509,0.713,-5.173,0.299,0.259,0,0.0896,0.574,90.201,3YggHQrb4aJpsBjkbJBTHZ,192157,['Solly Bandz'],Change Me,TRUE,0
0.81,0.547,-8.701,0.0394,0.722,6.07E-06,0.0462,0.968,101.009,01I4dOVul3Cgnk9jktBvBw,140147,['The South Kensingtons'],Concrete and Clay,FALSE,0
0.151,0.00854,-36.987,0.0454,0.969,0.891,0.111,0.0383,136.713,4IjDb1WwFCQcI2BV7niMEm,65000,['Sleep Fruits Music'],"Classic Dreams, Pt. 65",FALSE,54
0.479,0.935,-2.402,0.0533,0.00779,0,0.0491,0.283,146.235,1gFMq9pPkE7nCj1rfxjtCN,123720,['Cold World'],"Liars, Thieves",TRUE,19
0.702,0.575,-10.159,0.169,0.0284,0,0.1,0.405,76.48,2oo6IfyF0RztXcy46NKGZG,184226,['Valintxno'],Brand New,TRUE,21
0.237,0.438,-11.942,0.0305,0.171,0.915,0.147,0.0766,159.956,5QuFd58oKfeqPe7c6QSgL9,278562,['Northcape'],Shinkansen To Kyoto,FALSE,4
0.378,0.00363,-34.793,0.0655,0.921,0.85,0.0726,0.202,94.777,5FIhjiLcduUFKYFWdxivYW,253032,"['Benjamin Britten', 'Katie Salomon']","A Ceremony of Carols, Op. 28: No. 7, Interlude",FALSE,3
0.634,0.215,-17.161,0.0448,0.745,0.976,0.121,0.141,119.985,3KDaMeKoZFnlota39SjYCM,120000,"['breakfast oats.', 'Farnell Newton']",Singularity,FALSE,48
0.555,0.878,-5.058,0.0344,0.0447,0.269,0.972,0.553,89.12,6oBImJ4VvXVZvvqNDqvrjg,231977,['Orchestral Manoeuvres In The Dark'],(Forever) Live and Die,FALSE,9
0.745,0.549,-6.238,0.0568,0.825,0,0.0664,0.876,100.367,5m2M2j7YgjImGhLnwJBb3O,191800,['Juha Vainio'],Pankinjohtajan vapaailta,FALSE,0
